subj,CC,II,CI,IC,gaze-200-match,gaze-200-mismatch,Gaze-SOA-600,CC,II,CI,IC,gaze-600-match,gaze-600-mismatch,Gaze-SOA-1000,CC,II,CI,IC,gaze-1000-match,gaze-1000-mismatch,Arrow-SOA-200,CC,II,CI,IC,arrow-200-match,arrow-200-mismatch,Arrow-SOA-600,CC,II,CI,IC,arrow-600-match,arrow-600-mismatch,Arrow-SOA-1000,CC,II,CI,IC,arrow-1000-match,arrow-1000-mismatch,subjAge,subjHandedness,subjSex
53,0.451058,0.529946,0.467836,0.473732,0.078888,0.005896,,0.493381,0.446648,0.499722,0.465378,-0.046733,-0.034344,,0.422626,0.520718,0.458958,0.46708,0.098092,0.008122,,0.605316,0.523798,0.444855,0.489882,-0.081518,0.045027,,0.436954,0.501298,0.444882,0.464221,0.064344,0.019339,,0.44661,0.554195,0.555029,0.444417,0.107585,-0.110612,22.764384,right,male
54,0.466196,0.442695,0.414227,0.467882,-0.023501,0.053655,,0.435209,0.438526,0.430154,0.368137,0.003317,-0.062017,,0.3849,0.429007,0.403404,0.380167,0.044107,-0.023237,,0.376507,0.407543,0.394147,0.375715,0.031036,-0.018432,,0.389934,0.369819,0.371483,0.380723,-0.020115,0.00924,,0.366496,0.38574,0.399979,0.369814,0.019244,-0.030165,18.052055,right,female
55,0.517341,0.44663,0.465165,0.51395,-0.070711,0.048785,,0.467838,0.467885,0.457014,0.446118,4.7E-05,-0.010896,,0.440194,0.472068,0.468752,0.422633,0.031874,-0.046119,,0.544169,0.548332,0.534081,0.484532,0.004163,-0.049549,,0.504858,0.504739,0.511479,0.535761,-0.000119,0.024282,,0.524057,0.482099,0.508098,0.518966,-0.041958,0.010868,18.682192,left,female
56,0.377785,0.376948,0.392483,0.383279,-0.000837,-0.009204,,0.353168,0.359738,0.353073,0.389977,0.00657,0.036904,,0.374011,0.388261,0.340508,0.353105,0.01425,0.012597,,0.361947,0.412245,0.395006,0.39914,0.050298,0.004134,,0.395812,0.39663,0.365646,0.419274,0.000818,0.053628,,0.365625,0.384106,0.373165,0.379605,0.018481,0.00644,18.857534,right,female
57,0.369013,0.393298,0.361488,0.386636,0.024285,0.025148,,0.344701,0.375703,0.377378,0.368136,0.031002,-0.009242,,0.360612,0.393284,0.38659,0.363123,0.032672,-0.023467,,0.358937,0.375714,0.374843,0.374888,0.016777,4.5E-05,,0.328375,0.353902,0.341331,0.344297,0.025527,0.002966,,0.342134,0.351362,0.335453,0.343039,0.009228,0.007586,19.60274,right,male
5,0.426315,0.387584,0.408702,0.423441,-0.038731,0.014739,,0.373162,0.350474,0.400728,0.394136,-0.022688,-0.006592,,0.388223,0.417371,0.372525,0.438497,0.029148,0.065972,,0.391626,0.398338,0.372342,0.407563,0.006712,0.035221,,0.368969,0.404297,0.401675,0.393288,0.035328,-0.008387,,0.392456,0.38839,0.380456,0.40868,-0.004066,0.028224,18.79726,right,female
6,0.488027,0.498075,0.451065,0.473747,0.010048,0.022682,,0.444018,0.505612,0.446101,0.473773,0.061594,0.027672,,0.436077,0.439381,0.520671,0.505635,0.003304,-0.015036,,0.451927,0.541644,0.460804,0.466168,0.089717,0.005364,,0.446649,0.483817,0.473757,0.480467,0.037168,0.00671,,0.497271,0.481316,0.521583,0.437852,-0.015955,-0.083731,19.347945,right,female
7,0.394579,0.405057,0.387566,0.434347,0.010478,0.046781,,0.38322,0.365471,0.38669,0.357503,-0.017749,-0.029187,,0.350359,0.362805,0.369831,0.388265,0.012446,0.018434,,0.400032,0.389125,0.36815,0.402512,-0.010907,0.034362,,0.368966,0.374294,0.338109,0.37069,0.005328,0.032581,,0.346944,0.360173,0.352241,0.387359,0.013229,0.035118,18.4,right,female
8,0.396682,0.393708,0.399878,0.415096,-0.002974,0.015218,,0.374076,0.383275,0.36903,0.384919,0.009199,0.015889,,0.38078,0.381537,0.376528,0.395791,0.000757,0.019263,,0.409551,0.409236,0.411311,0.446126,-0.000315,0.034815,,0.397224,0.438561,0.398963,0.424325,0.041337,0.025362,,0.422854,0.415111,0.405049,0.398158,-0.007743,-0.006891,18.2,right,female
9,0.335442,0.410073,0.38576,0.357239,0.074631,-0.028521,,0.364789,0.352225,0.385737,0.343861,-0.012564,-0.041876,,0.397236,0.379573,0.37067,0.32709,-0.017663,-0.04358,,0.349599,0.364011,0.395817,0.389093,0.014412,-0.006724,,0.372316,0.370804,0.353091,0.367306,-0.001512,0.014215,,0.366478,0.371794,0.377361,0.374049,0.005316,-0.003312,18.219178,right,female
